"Date","Windows","Unknown","OS X","Linux","macOS","Chrome OS","Other"
2024-09,87.37,6.37,3.5,2.52,0,0.23,0
2024-10,87.41,5.65,4.29,2.42,0,0.22,0
2024-11,86.3,6.82,4.12,2.5,0,0.26,0
2024-12,84.98,8.05,3.77,2.93,0,0.27,0
2025-01,84.55,8.38,3.94,2.95,0,0.18,0
2025-02,82.85,8.47,5.78,2.72,0,0.19,0
2025-03,83.55,8.81,3.71,2.64,1.06,0.22,0
2025-04,84.48,8.51,2.29,2.43,2.12,0.17,0
2025-05,86,6.97,2.03,2.48,2.37,0.14,0
2025-06,77.42,9.93,3.26,2.74,6.53,0.13,0
2025-07,73.3,12.41,4.27,2.61,7.28,0.13,0
2025-08,73.44,12.09,4.99,2.15,7.17,0.16,0
2025-09,79.77,11.51,3.49,1.52,3.57,0.13,0
